job_id,value
d3ofm8jgrqts7383du7g,0.3643
d3ofn5rnquss73e4gudg,0.3544
d3ofo3rnquss73e4gvag,0.3251
d3ogqm5q5lhs73ban18g,0.3128
d3ofq3jgrqts7383e220,0.2592
d3ogm5bnquss73e4hsp0,0.3238
d3ogrnrnquss73e4i280,0.2973
d3ogsutq5lhs73ban3cg,0.2433
d3ogpldq5lhs73ban0b0,0.2674
d3ofvrbld2is73fetf80,0.2945
