job_id,value
d3nnr4g3qtks738ejm0g,0.8348
d3jrnk0dd19c738fjl00,0.5347
d3jro0b4kkus738d0mcg,0.5079
d3no6qgdd19c73997ks0,0.6227
d3no9modd19c73997o9g,0.566
d3noch83qtks738ek7vg,0.4751
d3noeh03qtks738eka30,0.4428
d3noet9fk6qs73e96ef0,0.415
d3nof183qtks738ekakg,0.3954
d3nofe83qtks738ekb0g,0.3875
d3nofigdd19c73997u90,0.3962
